time_sec,theta_kalman,theta_dot_kalman,x_pivot_m
5.272794,-0.10726408662173459,-0.007722000573460203,0.071456
5.297799,-0.11906494156622492,-0.004893361630413831,0.071456
5.3228,-0.1174268901059216,-0.0021089518620979464,0.071456
5.347805,-0.12038383738730832,0.0007483958671675311,0.071456
5.372813,-0.11815514599997463,0.0035502386303720573,0.071456
5.397817,-0.11475621763852045,0.006268951607835152,0.071456
5.422824,-0.1161173585200747,0.009025806495917374,0.071456
5.447831,-0.11044131355500916,0.01164579245612929,0.071456
5.472838,-0.10286997027158948,0.014082958891042621,0.071456
5.497842,-0.09391247342096525,0.016304027843315777,0.071456
5.522846,-0.07600736966491298,0.018085667251734897,0.071456
5.547853,-0.05611740390421526,0.019379148121839468,0.071456
5.572856,-0.03632115282656529,0.020187640227376298,0.071456
5.59786,-0.01709781330372416,0.02052604317304563,0.071456
5.622867,0.00227621617742009,0.02039078562263395,0.071456
5.647874,0.021122540903929846,0.019795036383973563,0.071456
5.672878,0.03924248662829595,0.018756663783198197,0.071456
5.697878,0.05484517032152077,0.01733823776192018,0.071456
5.722885,0.07043938428579863,0.015539076247775993,0.071456
5.747893,0.08380261010835424,0.013414079026167564,0.071456
5.772896,0.09582114564322358,0.010995679568523903,0.071456
5.797906,0.10455715946235002,0.008364797936642465,0.071456
5.822907,0.11059694860052777,0.005587494378443525,0.071456
5.847912,0.11360188723913195,0.0027382418921789303,0.071456
5.872915,0.11237254124991518,-7.8406239740203e-05,0.071456
5.897915,0.10865804717351488,-0.0028018084790080444,0.071456
5.922922,0.10359854906744996,-0.005399900973177482,0.071456
5.947926,0.09464391663012149,-0.007776490290070215,0.071456
5.972929,0.08380716948380937,-0.009885803414459812,0.071456
5.997937,0.07096591225062884,-0.011678824569821084,0.071456
6.022944,0.05636815582037527,-0.013112567632474675,0.071456
6.047948,0.04111438542945249,-0.014171460246675684,0.071456
6.072951,0.025761515901672263,-0.014853681375993584,0.071456
6.097959,0.009260298657317333,-0.015130818837184909,0.071456
6.122966,-0.009148839807303022,-0.01495512702123673,0.071456
6.147974,-0.02661401042284588,-0.014350204329955126,0.071456
6.172978,-0.04421996840209768,-0.013312133056780223,0.071456
6.197988,-0.0589773578273402,-0.011911804617255654,0.071456
6.222994,-0.07281782335586547,-0.010171365609441166,0.071456
6.247997,-0.08416493022063215,-0.008152342711244737,0.071456
6.273003,-0.0915821809515706,-0.005952166748973406,0.071456
6.298007,-0.09570680437616198,-0.003652149266787405,0.071456
6.32301,-0.09749697668909788,-0.0013094727240774567,0.071456
6.348015,-0.09756961087493614,0.0010342020697449716,0.071456
6.373019,-0.09578540022011449,0.003333716028029718,0.071456
6.398024,-0.09519353561819574,0.005620467425520109,0.071456
6.423034,-0.08852923815958023,0.007743380149708698,0.071456
6.448041,-0.07977277861313387,0.009651245485555765,0.071456
6.473044,-0.06819626849415455,0.011274436994179057,0.071456
6.498053,-0.05524899903884665,0.012579549878843493,0.071456
6.523057,-0.042191756379788475,0.013564645309967566,0.071456
6.548058,-0.028902051077050867,0.014224506062744752,0.071456
6.573062,-0.015812842102250122,0.014564584185425559,0.071456
6.598066,-0.0024778539625909916,0.014578921083750335,0.071456
6.623073,0.01155899883173062,0.014249897368529527,0.071456
6.64808,0.025521379060854766,0.013579175973216704,0.071456
6.673087,0.03883352225552131,0.012582665503203597,0.071456
6.698088,0.05114630199811615,0.01128483790089821,0.071456
6.723091,0.06157597223245432,0.009732171695827005,0.071456
6.748099,0.06939897901664273,0.007989157848620088,0.071456
6.773103,0.07586256736340366,0.0060888407225378055,0.071456
6.79811,0.08051928255947341,0.004075403975427466,0.071456
6.823117,0.08294422342116507,0.0020036319653072565,0.071456
6.848125,0.08290468516558902,-6.588300391960344e-05,0.071456
6.873128,0.08087494173544359,-0.0020844593397214006,0.071456
6.898135,0.0759571656785393,-0.003980832968281209,0.071456
6.923139,0.06980801979456441,-0.005725272414179652,0.071456
6.948146,0.06141377048027139,-0.007262488843378212,0.071456
6.973154,0.05233428016636162,-0.008576241092490278,0.071456
6.998155,0.042235568317507306,-0.009641758581641478,0.071456
7.023161,0.031058741518649333,-0.0104326349333618,0.071456
7.048168,0.018568537410599717,-0.010916381531202897,0.071456
