xAccl,yAccl,zAccl,newPosition,time,pcTime
-317,-10,997,0,17298063,17392.385005950928
-317,-10,997,0,17323069,17417.410135269165
-317,-10,997,0,17348070,17442.432165145874
-317,-10,997,0,17373072,17467.29612350464
-317,-10,997,0,17398076,17492.390155792236
-317,-10,997,0,17423080,17517.36807823181
-317,-10,997,0,17448087,17542.363166809082
-317,-10,997,0,17473087,17567.32726097107
-317,-10,997,0,17498091,17592.298984527588
-317,-10,997,0,17523094,17617.379188537598
-317,-10,997,0,17548098,17642.471313476562
-317,-10,997,0,17573102,17667.497158050537
-317,-10,997,0,17598105,17692.22927093506
-317,-10,997,0,17623113,17717.39625930786
-317,-10,997,0,17648120,17742.38109588623
-317,-10,997,0,17673120,17767.293214797974
-317,-10,997,0,17698127,17792.410135269165
-317,-10,997,0,17723128,17817.374229431152
-317,-10,997,0,17748134,17842.3810005188
-317,-10,997,0,17773138,17867.30122566223
-317,-10,997,0,17798142,17892.36617088318
-317,-10,997,0,17823149,17917.25516319275
-317,-10,997,0,17848153,17942.39616394043
-317,-10,997,0,17873160,17967.430114746094
-317,-10,997,0,17898165,17992.372274398804
-317,-10,997,0,17923172,18017.4081325531
-317,-10,997,0,17948175,18042.333126068115
-317,-10,997,0,17973183,18067.491054534912
-317,-10,997,0,17998186,18092.409133911133
-317,-10,997,0,18023194,18117.537021636963
-317,-10,997,0,18048197,18142.353296279907
-317,-10,997,0,18073200,18167.381048202515
-317,-10,997,0,18098204,18192.35134124756
-317,-10,997,0,18123212,18217.385292053223
-317,-10,997,0,18148215,18242.430210113525
-317,-10,997,0,18173218,18267.463207244873
-317,-10,997,0,18198223,18292.372226715088
-317,-10,997,0,18223234,18317.463159561157
-317,-10,997,0,18248238,18342.334985733032
-317,-10,997,0,18273245,18367.448091506958
-317,-10,997,0,18298247,18392.39501953125
-317,-10,997,0,18323251,18417.381286621094
-317,-10,997,0,18348254,18442.409992218018
-317,-10,997,0,18373258,18467.39101409912
-317,-10,997,0,18398263,18492.38395690918
-317,-10,997,0,18423269,18517.48299598694
-317,-10,997,0,18448272,18542.420387268066
-317,-10,997,0,18473278,18567.45433807373
-317,-10,997,0,18498278,18592.23699569702
-317,-10,997,0,18523282,18617.334127426147
-317,-10,997,0,18548289,18642.436265945435
-317,-10,997,0,18573293,18667.318105697632
-317,-10,997,0,18598299,18692.320108413696
-317,-10,997,0,18623303,18717.31209754944
-317,-10,997,0,18648307,18742.322206497192
-317,-10,997,0,18673310,18767.4241065979
-317,-10,997,0,18698314,18792.471170425415
-317,-10,997,0,18723317,18817.390203475952
-317,-10,997,0,18748321,18842.56410598755
-317,-10,997,0,18773325,18867.42401123047
-317,-10,997,0,18798328,18892.49300956726
-317,-10,997,0,18823332,18917.509078979492
-317,-10,997,0,18848336,18942.548990249634
-317,-10,997,0,18873339,18967.42296218872
-317,-10,997,0,18898343,18992.51914024353
-317,-10,997,0,18923347,19017.452001571655
-317,-10,997,0,18948350,19042.44303703308
-317,-10,997,0,18973354,19067.573070526123
-317,-10,997,0,18998358,19092.401266098022
-317,-10,997,0,19023364,19117.481231689453
-317,-10,997,0,19048369,19142.431259155273
-317,-10,997,0,19073373,19167.468070983887
-317,-10,997,0,19098380,19192.423105239868
-317,-10,997,0,19123383,19217.49234199524
-317,-10,997,0,19148387,19242.42615699768
-317,-10,997,0,19173391,19267.507314682007
-317,-10,997,0,19198392,19292.38724708557
-317,-10,997,0,19223395,19318.344354629517
-317,-10,997,0,19248402,19342.50521659851
-317,-10,997,0,19273405,19367.489099502563
-317,-10,997,0,19298406,19393.391132354736
-317,-10,997,0,19323410,19417.433261871338
-317,-10,997,0,19348417,19442.464113235474
-317,-10,997,0,19373420,19468.346118927002
-317,-10,997,0,19398424,19493.353366851807
-317,-10,997,0,19423427,19518.296003341675
-317,-10,997,0,19448431,19543.39027404785
-317,-10,997,0,19473435,19568.310022354126
-317,-10,997,0,19498438,19593.343019485474
-317,-10,997,0,19523442,19618.32332611084
-317,-10,997,0,19548446,19643.3162689209
-317,-10,997,0,19573449,19668.27416419983
-317,-10,997,0,19598453,19693.290948867798
-317,-10,997,0,19623457,19718.36519241333
-317,-10,997,0,19648460,19743.314266204834
-317,-10,997,0,19673464,19768.333196640015
-317,-10,997,0,19698468,19793.360233306885
-317,-10,997,0,19723471,19818.397283554077
-317,-10,997,0,19748475,19843.372106552124
