time,theta,x_pivot,time_seconds,filtered_theta
2568,70,0.0,2.568,432.8168170133438
2575,70,0.0,2.575,208.58369240904622
2583,70,0.0,2.583,122.93426021379487
2590,39,0.0,2.59,71.06003458109163
2600,39,0.0,2.6,51.245843529480005
2607,39,0.0,2.607,43.67749600734839
2617,842,0.0,2.617,537.0679374587306
2625,842,0.0,2.625,725.5263163688437
2633,842,0.0,2.633,797.5110116478006
2642,762,0.0,2.642,775.5639994745665
2650,762,0.0,2.65,767.1809867758986
2658,762,0.0,2.658,763.9789608531296
2667,893,0.0,2.667,843.7183483097263
2675,893,0.0,2.675,874.1760840760492
2683,893,0.0,2.683,885.8099039184211
2691,320,0.0,2.691,536.1201521255246
2700,320,0.0,2.7,402.55055245815254
2708,320,0.0,2.708,351.5315052489331
2717,390,0.0,2.717,375.3063425011394
2725,390,0.0,2.725,384.387522254485
2733,390,0.0,2.733,387.85622426231566
2743,-322,0.0,2.743,-50.85904945746313
2750,-322,0.0,2.75,-218.43337263470514
2758,-322,0.0,2.758,-282.4410684466523
2767,87,0.0,2.767,-54.113931306544885
2775,87,0.0,2.775,33.0992745270177
2783,87,0.0,2.783,66.41175488759801
2791,87,0.0,2.791,79.13599013577634
2800,400,0.0,2.8,277.44085399844806
2808,400,0.0,2.808,353.18657185956795
2816,400,0.0,2.816,382.1188615802557
2825,-696,0.0,2.825,-284.1952387886854
2833,-696,0.0,2.833,-538.7045779463122
2840,-696,0.0,2.84,-635.9184950502511
2851,2047,0.0,2.851,1022.2163239365207
2858,2047,0.0,2.858,1655.5674668598128
2867,2047,0.0,2.867,1897.486076642918
2875,-441,0.0,2.875,452.22219905920315
2883,-441,0.0,2.883,-99.81947946530875
2891,-441,0.0,2.891,-310.6806374551294
2900,-1190,0.0,2.9,-854.1298904737506
2909,-1190,0.0,2.909,-1061.7090339661227
2918,-1190,0.0,2.918,-1140.997211424617
2927,-1048,0.0,2.927,-1083.5217739052437
2935,-1048,0.0,2.935,-1061.568110291114
2943,-1048,0.0,2.943,-1053.1825569680982
2951,-1004,0.0,2.951,-1022.7860651081855
2958,-1004,0.0,2.958,-1011.1756383564584
2966,-1004,0.0,2.966,-1006.7408499611897
2974,-1004,0.0,2.974,-1005.0469115271106
2984,939,0.0,2.984,196.44015552090343
2991,939,0.0,2.991,655.367378089821
3000,939,0.0,3.0,830.6619787485597
3008,1010,0.0,3.008,941.4989713571008
3016,1010,0.0,3.016,983.8349353227426
3024,1010,0.0,3.024,1000.0058346111269
3033,-779,0.0,3.033,-99.4802373629235
3041,-779,0.0,3.041,-519.4465466998977
3049,-779,0.0,3.049,-679.8594027367694
3058,-1004,0.0,3.058,-880.1893089791371
3067,-1004,0.0,3.067,-956.7085242006418
3074,-1004,0.0,3.074,-985.9362636227883
3083,-1054,0.0,3.083,-1028.0019661052177
3091,-1054,0.0,3.091,-1044.0696346928648
3099,-1054,0.0,3.099,-1050.206937973377
3108,-1401,0.0,3.108,-1267.0089733234802
3117,-1401,0.0,3.117,-1349.8199819970632
3125,-1401,0.0,3.125,-1381.4509726677097
3134,-700,0.0,3.134,-960.2911098923896
3142,-700,0.0,3.142,-799.4223570094589
3151,-700,0.0,3.151,-737.975961135987
3159,-744,0.0,3.159,-741.6990219034973
3166,-744,0.0,3.166,-743.121104574505
3174,-744,0.0,3.174,-743.6642918200178
3183,-545,0.0,3.183,-620.8830071243191
3191,-545,0.0,3.191,-573.9847295529395
3199,-545,0.0,3.199,-556.0711815344994
3206,-545,0.0,3.206,-549.2288150505585
3216,-259,0.0,3.216,-369.85754283470635
3224,-259,0.0,3.224,-301.3438134535605
3233,-259,0.0,3.233,-275.173897525975
3242,18,0.0,3.242,-93.98246424064376
3250,18,0.0,3.25,-24.773495195956244
3259,18,0.0,3.259,1.6619786527750549
3268,-176,0.0,3.268,-108.13916266319816
3275,-176,0.0,3.275,-150.0794666423696
3283,-176,0.0,3.283,-166.09923726391062
3291,-207,0.0,3.291,-191.377298800609
3300,-207,0.0,3.3,-201.0326591379164
3307,-207,0.0,3.307,-204.72067861314017
3318,333,0.0,3.318,127.6089772234391
3325,333,0.0,3.325,254.54761028345752
3334,333,0.0,3.334,303.0338536269335
3342,605,0.0,3.342,489.65919553731436
3350,605,0.0,3.35,560.9437329850097
3358,605,0.0,3.358,588.1720034177146
3367,658,0.0,3.367,631.3280786718784
3375,658,0.0,3.375,647.8122325979208
3382,658,0.0,3.382,654.108619121884
3391,691,0.0,3.391,676.9087463964776
3399,691,0.0,3.399,685.6176200675488
3407,691,0.0,3.407,688.9441138061691
3415,691,0.0,3.415,690.2147213509583
3424,74,0.0,3.424,309.37307918802054
3433,74,0.0,3.433,163.90451621310336
3441,74,0.0,3.441,108.34046945128951
3450,29,0.0,3.45,59.30536264701988
3457,29,0.0,3.457,40.57561848977011
3466,29,0.0,3.466,33.42149282229045
3475,960,0.0,3.475,606.0785035032533
3483,960,0.0,3.483,824.8140176874696
3489,960,0.0,3.489,908.3635495591554
3499,951,0.0,3.499,934.7143250912478
3505,951,0.0,3.505,944.779425714588
3513,951,0.0,3.513,948.6239520525162
3521,942,0.0,3.521,944.5301245442115
3528,942,0.0,3.528,942.9664215801184
3536,942,0.0,3.536,942.3691401961439
3543,942,0.0,3.543,942.1409990083132
